POS;NUMBER;LAP;TIME;GAP_FIRST;GAP_PREVIOUS;KPH; LAPS;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;98;4;2:30.365;-;-;156.0;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;;;;;;;;
2;47;4;2:30.396;+0.031;+0.031;155.9;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;;;;;;;;
3;22;5;2:30.447;+0.082;+0.051;155.9;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;;;;;;;;
4;72;3;2:30.692;+0.327;+0.245;155.6;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;;;;;;;;
5;2;5;2:30.774;+0.409;+0.082;155.5;6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;;;;;;;;
6;7;4;2:30.775;+0.410;+0.001;155.5;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;;;;;;;;
7;55;5;2:30.775;+0.410;+0.000;155.5;6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;;;;;;;;
8;71;5;2:31.304;+0.939;+0.529;155.0;6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;;;;;;;;
9;89;5;2:31.444;+1.079;+0.140;154.9;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;;;;;;;;
10;13;5;2:31.478;+1.113;+0.034;154.8;6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;;;;;;;;
11;21;3;2:31.501;+1.136;+0.023;154.8;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;;;;;;;;
12;113;3;2:31.684;+1.319;+0.183;154.6;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;;;;;;;;
13;31;5;2:31.741;+1.376;+0.057;154.6;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;;;;;;;;
14;46;2;2:32.010;+1.645;+0.269;154.3;2;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;;;;;;;;
15;51;5;2:32.081;+1.716;+0.071;154.2;6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;;;;;;;;
16;58;5;2:32.128;+1.763;+0.047;154.2;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jack;Murchison;;;;;;;;;;
17;41;5;2:32.215;+1.850;+0.087;154.1;6;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;;;;;;;;
18;88;4;2:32.245;+1.880;+0.030;154.0;6;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;;;;;;;;
19;11;5;2:32.871;+2.506;+0.626;153.4;6;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;;;;;;;;
20;03;5;2:33.065;+2.700;+0.194;153.2;6;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;;;;;;;;
21;80;5;2:33.072;+2.707;+0.007;153.2;6;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;;;;;;;;
22;15;2;2:33.170;+2.805;+0.098;153.1;5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;;;;;;;;
23;5;5;2:33.255;+2.890;+0.085;153.0;5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;;;;;;;;
24;86;4;2:35.292;+4.927;+2.037;151.0;5;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;;;;;;;;
25;12;6;2:36.657;+6.292;+1.365;149.7;6;BSI Racing;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;;;;;;;;
26;8;5;2:37.834;+7.469;+1.177;148.6;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;;;;;;;;
27;57;3;2:38.886;+8.521;+1.052;147.6;6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;;;;;;;;
28;18;3;2:39.815;+9.450;+0.929;146.7;6;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;;;;;;;;
