race,driver_number,qualifying_pace,best_race_lap,avg_top10_pace,stint_consistency,sector_consistency,braking_consistency,pace_degradation,late_stint_perf,early_vs_late_pace,position_changes,positions_gained,performance_normalized,finishing_position
roadamerica_r2,2,0.9958475721211157,0.9988214534967935,1.0,0.1838854605787667,0.16338757293894227,0.23754502969287716,1.0,0.9989146054361451,1.0077576829231298,0.42438944745848056,0.6428571428571428,1.0,1
roadamerica_r2,72,0.9977969621966676,0.9999274951553582,0.9995077448149119,0.24670456544179759,0.1624552194654181,0.23388169091012173,1.0,0.9975987018595339,0.9968955310085916,0.46605240498135864,0.5,0.9629629629629629,2
roadamerica_r2,47,0.994905352026942,0.9992951715960741,0.9994749450333081,0.24652629340225993,0.1676884818209442,0.24377676846920188,1.0,0.9988164465883307,1.0018853202210944,0.5910412775499928,0.7142857142857143,0.9259259259259259,3
roadamerica_r2,55,0.9974395542436404,1.0,0.9995471073946205,0.20382513782020517,0.16511926642087502,0.23761368107454733,1.0,0.9973811714733035,1.001907597417507,0.5077153625042367,0.5,0.8888888888888888,4
roadamerica_r2,98,0.9841740462212099,0.999868180829538,0.9995733508368888,0.22752908417249676,0.17071545233003754,0.24918165837723544,1.0,0.9969290120093286,0.9936225399071075,0.6327042350728709,0.8571428571428572,0.8518518518518519,5
roadamerica_r2,7,0.9955113309102465,0.9984993187697047,0.99819743051914,0.18770439959589044,0.16077787345173855,0.22994185676234113,1.0,0.9964208224048238,1.001320567125928,0.3827264899356025,0.5,0.8148148148148148,6
roadamerica_r2,31,0.997578515796038,0.9973505318659357,0.9991011796197399,0.1886806184090421,0.18237740413666242,0.267039253958505,1.0,0.9970767882600677,1.0005849539389624,0.8410190226872611,0.35714285714285715,0.7777777777777778,7
roadamerica_r2,13,0.9955113309102465,0.9988083010718706,0.9996717760199559,0.11893790400717492,0.16010013673755327,0.22875350924318916,1.0,0.9927982132275854,0.9932445056295784,0.2577376173669683,0.4642857142857143,0.7407407407407407,8
roadamerica_r2,113,0.9931049513582056,0.9961324298058992,0.9955480302812388,0.2712833787811941,0.17027536335600393,0.24228215458822344,1.0,0.9930827400686515,0.9952422088716115,0.5077153625042367,0.5714285714285714,0.7037037037037037,9
roadamerica_r2,88,0.9838327662915467,0.9938743956288735,0.9952877664928172,0.41877125498448764,0.177431282238308,0.25607623693134085,1.0,0.9952911992862813,0.9968841232162833,0.6327042350728709,0.7142857142857143,0.6666666666666666,10
roadamerica_r2,46,0.9855479963820833,0.999986816518902,0.9986949450434143,0.31582776883021174,0.16267431230639942,0.2398295492204455,1.0,0.9823588157598013,0.9801791856809152,0.5077153625042367,0.5714285714285714,0.6296296296296297,11
roadamerica_r2,51,0.9822004781376148,0.9905905552943635,0.9905746289044712,0.08653013382383037,0.1881097227556462,0.2806900745137133,1.0,0.9897776575601839,1.0215538687924117,0.7993560651643832,0.6785714285714286,0.5925925925925926,12
roadamerica_r2,58,0.9842126966049443,0.9926712602160669,0.9915485437841428,0.20495599313867915,0.17784854120656562,0.25649666207343313,1.0,0.9869691869497669,0.9909961692080091,0.3827264899356025,0.5357142857142857,0.5555555555555556,13
roadamerica_r2,3,0.9701538759314816,0.9919248322849783,0.9898856611696492,0.19942054602337114,0.1885894196995799,0.27956797182018717,1.0,0.9904903176210095,1.008905614861936,0.6327042350728709,0.7857142857142857,0.5185185185185185,14
roadamerica_r2,21,0.9951489722174425,0.9943890560373364,0.9949236257202962,0.289624277138069,0.17311920786430338,0.2555837301291025,1.0,0.9951450343480932,1.001558596719887,0.13274874479833404,0.25,0.48148148148148145,15
roadamerica_r2,41,0.9922726672825657,0.9948520539321127,0.9899307045256575,0.20002543410865375,0.17615136031909195,0.25122283930145606,1.0,0.9861435704614642,0.990540424369643,0.34106353241272447,0.35714285714285715,0.4444444444444444,16
roadamerica_r2,89,0.9797557924366025,0.9890083382771906,0.9891462495778013,0.24563711846172992,0.18272112690548623,0.26548343082090303,1.0,0.9866540980353246,0.9935499558201282,0.3827264899356025,0.5714285714285714,0.4074074074074074,17
roadamerica_r2,5,0.9776155306478037,0.9899376814904238,0.9877732373354089,0.1931831450128958,0.18753888787699965,0.2767496749420694,1.0,0.9912931536121763,1.0455980647970322,0.6327042350728709,0.5714285714285714,0.37037037037037035,18
roadamerica_r2,11,0.9708052759682616,0.9817629966153467,0.9806743685844184,0.25053420053882314,0.1890064073155002,0.27563923286296177,1.0,0.9786752395063841,1.0005763017040996,0.3827264899356025,0.5714285714285714,0.3333333333333333,19
roadamerica_r2,80,0.9421380416530915,0.9806713943100206,0.9784312717646908,0.15051485673858478,0.17293526860324762,0.21161940760609882,1.0,0.9790785037726761,1.104390485173342,0.716030150118627,0.7142857142857143,0.2962962962962963,20
roadamerica_r2,86,0.9367501027896489,0.976115561560982,0.9763799216510973,0.19581151225348942,0.19610466748390007,0.29061845594372304,1.0,0.9768672614566479,1.0072984576244237,0.3827264899356025,0.7142857142857143,0.25925925925925924,21
roadamerica_r2,8,0.9486105415891242,0.9746355628939101,0.9710505340347522,0.16953608057310762,0.20035407471516867,0.3025302922006489,1.0,0.9715027887633861,1.0108231724931955,0.5493783200271147,0.5357142857142857,0.2222222222222222,22
roadamerica_r2,12,0.944582294225176,0.9724052612686529,0.9698878436817333,0.10334493384235817,0.16813275883447354,0.22840933163306323,1.0,0.9492571881585924,0.9979557820901142,0.5493783200271147,0.5714285714285714,0.18518518518518517,23
roadamerica_r2,57,0.9356484621463371,0.9528304849478372,0.9501481828107939,0.11019248365842439,0.21205427371470387,0.3036653006645838,1.0,0.940921994569242,0.9872310105814484,0.34106353241272447,0.6428571428571428,0.14814814814814814,24
roadamerica_r2,18,0.9446178974149574,0.9449545284664259,0.9448191141525881,0.21030253048100944,0.21792273948316326,0.3193019527984651,1.0,0.9458309294722672,1.0023734005848406,0.3827264899356025,0.4642857142857143,0.1111111111111111,25
roadamerica_r2,71,0.9932558293150143,0.9929766455464208,0.9960168482739675,,,,,,,0.716030150118627,-0.0714285714285714,0.07407407407407407,26
roadamerica_r2,22,1.0,0.9949890796041112,0.9988062990679951,,,,,,,0.42438944745848056,-0.4285714285714286,0.037037037037037035,27
