driver_number,race,throttle_smoothness,steering_smoothness,accel_efficiency,lateral_g_utilization,straight_speed_consistency,braking_point_consistency,corner_efficiency
2,roadamerica_r2,,0.11621991826344573,,1.25,,,
3,roadamerica_r2,,0.08407191417887028,,1.231,,,
5,roadamerica_r2,,0.11767476120335073,,1.232,,,
7,roadamerica_r2,,0.20217216147041103,,1.2363999999999997,,,
8,roadamerica_r2,,0.21485295985456657,,1.209,,,
11,roadamerica_r2,,0.20818947485457542,,1.234,,,
12,roadamerica_r2,,0.11941365660693137,,1.244,,,
13,roadamerica_r2,,0.10803988655839745,,1.221,,,
16,roadamerica_r2,,20.061828646335098,,1.254,,,
18,roadamerica_r2,,0.20597118492388294,,1.114,,,
21,roadamerica_r2,,0.17923438540018566,,1.2558999999999996,,,
31,roadamerica_r2,,0.21744885934333266,,1.254,,,
41,roadamerica_r2,,0.15577118901692444,,1.244,,,
47,roadamerica_r2,,0.08355691998412831,,1.231,,,
55,roadamerica_r2,,0.18756510538295496,,1.212,,,
57,roadamerica_r2,,0.14932065766281186,,1.17275,,,
71,roadamerica_r2,,0.43275872842382035,,1.258,,,
72,roadamerica_r2,,0.13779962864214815,,1.242,,,
78,roadamerica_r2,,0.5471794320016294,,1.238,,,
80,roadamerica_r2,,0.14161617212852945,,1.232,,,
86,roadamerica_r2,,0.18002949260312412,,1.226,,,
88,roadamerica_r2,,0.11597897880338415,,1.242,,,
89,roadamerica_r2,,0.12615730606421383,,1.24,,,
98,roadamerica_r2,,0.2855721090395142,,1.234,,,
113,roadamerica_r2,,0.13062132526626583,,1.237,,,
