race,driver_number,qualifying_pace,best_race_lap,avg_top10_pace,entry_perf_s1,technical_perf_s2,exit_perf_s3,stint_consistency,pace_degradation,late_stint_perf,position_changes,positions_gained,finishing_position
barber_r1,13,1.0,1.0,1.0,0.9978511393392142,1.0,0.9999380902066961,7.261683230469129,1.0,0.9966254766857122,0.5034419064061695,0.5,1
barber_r1,22,0.9971708109998869,0.9967466699404578,0.9975394102752594,1.0,0.9978673263241629,0.9999999999999999,9.13652503275852,1.0,1.0,0.564951421504731,0.5909090909090909,2
barber_r1,72,0.9980846857237006,0.9968384542189754,0.9955167459727133,0.9962238778901489,0.9947871408111199,0.9949827785413506,7.115726224497969,1.0,0.9927639283498335,0.441932391307608,0.45454545454545453,3
barber_r1,55,0.9945718536760556,0.9932105939201175,0.9941795980666497,0.9950369504195764,0.9972751410954972,0.9973434144534171,10.147780642362118,1.0,0.9952723401966763,0.6879704517018541,0.6818181818181819,4
barber_r1,2,0.9955627683395304,0.9908671155136993,0.992704808933053,0.9898821192169409,0.9951033404596223,0.9986630795611934,10.213309546641378,1.0,0.9940639014873185,0.441932391307608,0.5454545454545454,5
barber_r1,47,0.9980744081636856,0.9916234949262602,0.9926947227245941,0.9913214185629206,0.9944757470012522,0.9984188908883608,7.976445261941554,1.0,0.994184814835463,0.441932391307608,0.36363636363636365,6
barber_r1,98,0.9968221319483725,0.9932916012478845,0.9928359482968865,0.9917623227548954,0.9945908847145257,0.997450173396443,8.81261270214187,1.0,0.9944025330033588,0.441932391307608,0.40909090909090906,7
barber_r1,7,0.9923418719413559,0.9883040342459499,0.9895978932442014,0.9917128288227989,0.9933212400292679,0.9928217639200407,14.118787653692587,1.0,0.9904991385804857,0.5034419064061695,0.5909090909090909,8
barber_r1,41,0.9878010252438267,0.9902125194377536,0.9904907695582974,0.9914596136575744,0.9950535464255895,0.9933400939192993,11.069343505255226,1.0,0.9908263368283027,0.6879704517018541,0.7272727272727273,9
barber_r1,113,0.989828639120933,0.9835648522048135,0.9854258280550289,0.987964245136932,0.9880103050098908,0.9890012545890472,5.512422335006724,1.0,0.9885185595791215,0.6879704517018541,0.5909090909090909,10
barber_r1,21,0.9895860984624181,0.9863629460895975,0.9859329747621017,0.9879223521292336,0.9885132703118946,0.9879352177192994,5.48162390199689,1.0,0.9889511341270608,0.6879704517018541,0.5909090909090909,11
barber_r1,111,0.9899701760836704,0.9846782018111254,0.9854158892172388,0.987115522004713,0.9855492655777909,0.9897298467647383,4.783495587218169,1.0,0.9876495720901476,0.38042287620904647,0.45454545454545453,12
barber_r1,31,0.9935116186102769,0.9886951756611394,0.9869986867360339,0.9855374341964194,0.9873444141734469,0.9873675144474118,3.028635411439599,1.0,0.9884826948156,0.25740384601192334,0.3181818181818182,13
barber_r1,3,0.9822154214083765,0.98246392449101,0.981229662957458,0.9837709706258354,0.98415734507678,0.9850471368241868,7.9437455860666475,1.0,0.9818882582014397,0.7494799668004156,0.6363636363636364,14
barber_r1,93,0.9749145041239188,0.9808319574759393,0.9801370343990451,0.9839944774393492,0.9833957598791155,0.9807313192974219,6.1247094036824565,1.0,0.9797442003564094,0.6264609366032926,0.6818181818181819,15
barber_r1,46,0.995051741130092,0.992118286796603,0.9906615022712525,0.9775268706749752,0.9909095942491719,0.9707863457688152,4.9949788230614685,1.0,0.9883741201485354,0.19589433091336184,0.09090909090909088,16
barber_r1,5,0.9856614057923854,0.9832968319489721,0.9835509427504354,0.9917725132953542,0.9757768456558799,0.9856816797920196,2.4393769238531506,1.0,0.9826467055189709,0.6879704517018541,0.45454545454545453,17
barber_r1,58,0.9705897078998228,0.9727624905147968,0.9722562219502244,0.9711213959237648,0.9751149403890036,0.9761816821636607,5.162921482181281,1.0,0.9709137092519212,0.564951421504731,0.6363636363636364,18
barber_r1,80,0.9738663880153124,0.9761639965132706,0.976531968695965,0.9557833089311859,0.9801222529817076,0.9743626523742429,3.2303446721414506,1.0,0.9743715577737688,0.25740384601192334,0.5454545454545454,19
barber_r1,51,0.9821059457706804,0.9800623679710291,0.9804124228588631,0.9660753759790899,0.9819129315224316,0.9564741924531577,4.571620259113312,-8.256060896820838,0.949093597412877,0.25740384601192334,0.40909090909090906,20
barber_r1,18,0.9523089015523679,0.9610274317166277,0.9589443103075987,0.9569859068482801,0.9637146062373795,0.954993902514135,3.780116398465726,1.0,0.957103111785753,0.5675143179671711,0.5454545454545454,21
barber_r1,88,0.9868054000122172,0.9856644240983358,0.960981607160421,0.9765142641286317,0.9698430123241892,0.563957147769656,3.0290411622053517,-0.02926204557191823,0.6609962745510323,0.36364755390943876,0.18181818181818182,22
